GEO,WEEK_START,YT_PAID_IMP,YT_ORG_IMP,GOOGLE_IMP,EMAIL_IMP,FB_IMP,AFF_IMP,GOOGLE_SPEND,FB_SPEND,AFF_SPEND,REVENUE
A,1/6/18,392,422,408,349895,73580,12072,3.75,910.55,285.2,59417
A,1/13/18,787,904,110,506270,11804,9499,2.57,154.04,209.45,56806
A,1/20/18,81,970,742,430042,52232,17048,13.76,1151.72,295.36,48715
A,1/27/18,25,575,65,417746,78640,10207,0.74,2229.44,273.29,72047
A,2/3/18,565,284,295,408506,40561,5834,3.66,857.87,101.07,56235
A,2/10/18,256,330,683,434730,36750,8469,16.35,1041.86,106.71,56347
A,2/17/18,886,56,664,634433,112489,8331,16.14,3340.92,256.8,81604
A,2/24/18,336,99,470,555036,218,6319,4.31,4.32,133.65,80492
A,3/3/18,305,209,501,423690,13065,7898,6.85,258.69,129.72,61804
A,3/10/18,955,283,609,471730,84449,8428,15.24,2337.13,227.56,64944
A,3/17/18,650,466,290,464973,11438,6900,3.97,241.91,121.1,62945
A,3/24/18,962,614,605,424832,58830,14151,7.95,1813.43,194.22,65018
A,3/31/18,674,831,762,427351,29536,7840,8.78,651.27,88.2,68472
A,4/7/18,604,22,130736,418862,91874,6575,1647.27,1674.4,140.54,53473
A,4/14/18,342,432,208099,508060,61025,7733,3146.46,947.41,186.17,59351
A,4/21/18,833,10,209285,412036,38548,8358,2750,572.44,159.85,72647
A,4/28/18,868,750,232531,473344,27777,8208,5106.38,693.73,249.32,62975
A,5/5/18,20,776,258508,399783,51402,7789,5211.52,1341.59,138.45,73440
A,5/12/18,704,391,350509,347974,43773,10803,7255.54,1083.38,238.21,73081
A,5/19/18,554,21,349590,378663,5457,7350,8306.26,71.21,90.96,63422
A,5/26/18,903,124,339701,457525,18636,9041,7887.86,272.55,124.09,65930
A,6/2/18,926,139,272962,334462,58676,10338,5060.72,976.96,181.43,67830
A,6/9/18,273,84,260513,376282,95075,9525,5298.83,1326.3,212.17,72316
A,6/16/18,929,358,239193,338646,49503,9606,2454.12,1180.65,242.07,66903
A,6/23/18,261,564,257999,394913,33836,9592,6362.26,913.57,284.88,68825
A,6/30/18,160,423,300068,372146,41871,12818,5671.29,1234.15,279.75,90421
A,7/7/18,489,927,398603,323817,38020,9479,7533.6,1180.52,279.39,47768
A,7/14/18,196,900,465878,463141,157256,9427,5870.06,4847.42,209.99,110359
A,7/21/18,843,976,375324,351879,120756,8103,5539.78,3314.75,244.31,111259
A,7/28/18,417,761,365439,367607,87487,8569,8748.61,2007.83,200.51,69277
A,8/4/18,971,593,338155,286527,99863,9187,8217.17,3078.28,252.18,73348
A,8/11/18,640,296,351992,357211,107090,8296,5892.35,2626.38,102.66,59450
A,8/18/18,138,245,505429,414114,152851,10638,11463.13,4780.42,162.76,85245
A,8/25/18,58,459,514951,419267,295046,10829,4634.56,7368.77,163.25,96340
A,9/1/18,766,65,560749,331609,236072,10673,8781.33,5311.62,144.09,87248
A,9/8/18,947,431,525501,347631,283426,8153,13148.04,7206.11,130.24,72504
A,9/15/18,403,261,598424,338349,199895,7887,10663.92,4722.52,113.57,102759
A,9/22/18,111,748,571337,327584,236126,6725,8535.77,5737.86,146.77,94933
A,9/29/18,441,759,679729,289529,219372,7695,11133.96,5478.82,109.08,99169
A,10/6/18,692,540,652498,265199,95291,6387,9395.97,1736.68,153.77,116818
A,10/13/18,121,1452,561755,263426,122823,6428,8898.2,1381.76,92.56,105914
A,10/20/18,305,2183,761769,259055,106285,6012,13163.37,1243.53,93.34,128191
A,10/27/18,937,1378,689753,274521,114960,4735,10677.38,1939.95,56.46,112396
A,11/3/18,247,1720,609882,268329,171775,5295,9880.09,3323.85,113.18,156591
A,11/10/18,337,4371,1016756,556982,194349,5073,15922.4,3104.73,147.24,186876
A,11/17/18,597,3605,1552213,547178,283528,4760,29616.22,5422.47,66.4,208474
A,11/24/18,798,1815,1709493,557084,743909,4953,39079.01,16235.81,117.01,338311
A,12/1/18,1738,1511,1160722,688443,126493,5750,20475.14,3899.15,99.62,266300
A,12/8/18,24788,1632,558879,425805,68776,5247,13178.37,1671.26,92.08,187382
A,12/15/18,20699,2982,462233,354047,146088,4837,6739.36,3352.72,143.66,190487
