Feature,Coefficient
GOOGLE_SPEND,0.05563616752624512
FB_SPEND,0.3108590841293335
AFF_SPEND,0.08340954780578613
geo_A,-0.011470139026641846
geo_B,0.07002508640289307
geo_C,-0.0044193267822265625
geo_D,-0.02656567096710205
geo_E,0.11852478981018066
geo_F,-0.03234103322029114
geo_G,-0.0138092041015625
geo_H,0.023089170455932617
geo_I,-0.05349767208099365
geo_J,-0.0017847120761871338
geo_K,-0.04677629470825195
geo_L,-0.037933021783828735
geo_M,0.009850025177001953
geo_N,0.08358705043792725
geo_O,0.10526630282402039
geo_P,-0.02356475591659546
geo_Q,0.032687366008758545
geo_R,0.0017678141593933105
geo_S,-0.026519179344177246
geo_T,0.04057717323303223
geo_U,0.09441885352134705
geo_V,-0.013991594314575195
geo_W,0.015164315700531006
geo_X,-0.03389352560043335
geo_Y,0.04293346405029297
geo_Z,-0.022276341915130615
